"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"43","","DRR300255","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"44","","DRR300256","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"45","","DRR300257","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"46","","DRR300258","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"47","","DRR300259","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"48","","DRR300260","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"49","","DRR300261","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"50","","DRR300262","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"51","","DRR300263","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"52","","DRR300264","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"53","","DRR300265","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"54","","DRR300266","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"55","","DRR300267","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"56","","DRR300268","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"57","","DRR300269","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"58","","DRR300270","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"59","","DRR300271","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"60","","DRR300272","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"61","","DRR300273","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"62","","DRR300274","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"63","","DRR300275","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"64","","DRR300276","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"65","","DRR300277","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"66","","DRR300278","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"67","","DRR300279","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"68","","DRR300280","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"69","","DRR374966","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"70","","DRR374967","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"71","","DRR374968","2011","Japan","Asia","ptxP3/fim3-1","NCBI"
"72","","DRR374969","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"73","","DRR374970","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"74","","DRR374971","2012","Japan","Asia","ptxP3/fim3-1","NCBI"
"75","","DRR413407","2015","Japan","Asia","ptxP1/fim3-1","NCBI"
"76","","DRR413408","2015","Japan","Asia","ptxP1/fim3-1","NCBI"
"77","","DRR413409","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"78","","DRR413410","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"79","","DRR413411","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"80","","DRR413412","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"81","","DRR413413","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"82","","DRR413414","2015","Japan","Asia","ptxP1/fim3-1","NCBI"
"83","","DRR413415","2015","Japan","Asia","ptxP3/fim3-1","NCBI"
"84","","DRR413416","2015","Japan","Asia","ptxP1/fim3-1","NCBI"
"85","","DRR413417","2016","Japan","Asia","ptxP3/fim3-2","NCBI"
"86","","DRR413418","2016","Japan","Asia","ptxP1/fim3-1","NCBI"
"87","","DRR413419","2016","Japan","Asia","ptxP1/fim3-1","NCBI"
"88","","DRR413420","2016","Japan","Asia","ptxP3/fim3-1","NCBI"
"89","","DRR413421","2016","Japan","Asia","ptxP3/fim3-2","NCBI"
"90","","DRR413422","2017","Japan","Asia","ptxP3/fim3-1","NCBI"
"91","","DRR413423","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"92","","DRR413424","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"93","","DRR413425","2018","Japan","Asia","ptxP3/fim3-1","NCBI"
"94","BP109","DRR428468","2000","Japan","Asia","ptxP3/fim3-1","NCBI"
"95","BP237","DRR428469","2004","Japan","Asia","ptxP3/fim3-1","NCBI"
"96","BP239","DRR428470","2004","Japan","Asia","ptxP3/fim3-1","NCBI"
"97","BP416","DRR428471","2011","Japan","Asia","ptxP1/fim3-1","NCBI"
"98","BP417","DRR428472","2011","Japan","Asia","ptxP1/fim3-1","NCBI"
"99","BP460","DRR428473","2009","Japan","Asia","ptxP1/fim3-1","NCBI"
"100","BP461","DRR428474","2009","Japan","Asia","ptxP1/fim3-1","NCBI"
"101","BP468","DRR428475","2008","Japan","Asia","ptxP1/fim3-1","NCBI"
"102","BP469","DRR428476","2008","Japan","Asia","ptxP1/fim3-1","NCBI"
"103","BP475","DRR428477","2013","Japan","Asia","ptxP3/fim3-1","NCBI"
"104","BP476","DRR428478","2013","Japan","Asia","ptxP3/fim3-1","NCBI"
"105","BP491","DRR428479","2014","Japan","Asia","ptxP3/fim3-1","NCBI"
"106","BP492","DRR428480","2014","Japan","Asia","ptxP3/fim3-1","NCBI"
"107","BP505","DRR428481","2014","Japan","Asia","ptxP3/fim3-1","NCBI"
"108","BP601","DRR428482","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"109","BP602","DRR428483","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"110","BP603","DRR428484","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"111","BP606","DRR428485","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"112","BP607","DRR428486","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"113","BP613","DRR428487","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"114","BP614","DRR428488","2019","Japan","Asia","ptxP3/fim3-1","NCBI"
"115","BP617","DRR428489","2020","Japan","Asia","ptxP3/fim3-1","NCBI"
"116","BP618","DRR428490","2020","Japan","Asia","ptxP3/fim3-1","NCBI"
"117","","DRR445791","2018","Japan","Asia","ptxP1/fim3-1","NCBI"
"118","BP1","ERR1775134","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"119","BP10","ERR1775135","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"120","BP100","ERR1775136","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"121","BP101","ERR1775137","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"122","BP103","ERR1775138","1999","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"123","BP104","ERR1775139","1999","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"124","BP106","ERR1775140","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"125","BP107","ERR1775141","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"126","BP108","ERR1775142","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"127","BP111","ERR1775143","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"128","BP112","ERR1775144","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"129","BP113","ERR1775145","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"130","BP114","ERR1775146","1999","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"131","BP115","ERR1775147","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"132","BP116","ERR1775148","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"133","BP117","ERR1775149","1999","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"134","BP118","ERR1775150","1997","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"135","BP119","ERR1775151","2001","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"136","BP12","ERR1775152","1990","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"137","BP120","ERR1775153","1995","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"138","BP121","ERR1775154","1998","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"139","BP122","ERR1775155","2001","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"140","BP123","ERR1775156","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"141","BP124","ERR1775157","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"142","BP125","ERR1775158","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"143","BP127","ERR1775159","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"144","BP128","ERR1775160","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"145","BP130","ERR1775161","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"146","BP131","ERR1775162","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"147","BP133","ERR1775163","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"148","BP134","ERR1775164","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"149","BP135","ERR1775165","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"150","BP139","ERR1775166","2001","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"151","BP148","ERR1775167","2002","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"152","BP15","ERR1775168","1990","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"153","BP155","ERR1775169","2002","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"154","BP156","ERR1775170","2002","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"155","BP159","ERR1775171","2002","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"156","BP162","ERR1775172","2002","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"157","BP193","ERR1775173","1995","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"158","BP194","ERR1775174","1986","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"159","BP196","ERR1775175","1986","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"160","BP202","ERR1775176","2003","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"161","BP211","ERR1775177","2003","Japan","Asia","Others","Zomer et. al. (2018)"
"162","BP214","ERR1775178","2003","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"163","BP215","ERR1775179","2003","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"164","BP22","ERR1775180","1991","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"165","BP227","ERR1775181","2003","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"166","BP233","ERR1775182","2004","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"167","BP235","ERR1775183","2004","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"168","BP243","ERR1775184","2004","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"169","BP260","ERR1775185","2004","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"170","BP267","ERR1775186","2004","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"171","BP27","ERR1775187","1992","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"172","BP28","ERR1775188","1992","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"173","BP29","ERR1775189","1992","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"174","BP290","ERR1775190","2005","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"175","BP293","ERR1775191","2005","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"176","BP297","ERR1775192","2005","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"177","BP300","ERR1775193","2005","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"178","BP302","ERR1775194","2005","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"179","BP306","ERR1775195","2006","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"180","BP307","ERR1775196","2006","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"181","BP31","ERR1775197","1999","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"182","BP310","ERR1775198","2006","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"183","BP311","ERR1775199","2006","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"184","BP313","ERR1775200","2006","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"185","BP314","ERR1775201","2007","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"186","BP316","ERR1775202","2007","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"187","BP32","ERR1775203","1995","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"188","BP327","ERR1775204","2007","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"189","BP33","ERR1775205","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"190","BP330","ERR1775206","2007","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"191","BP338","ERR1775207","2008","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"192","BP34","ERR1775208","1994","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"193","BP341","ERR1775209","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"194","BP343","ERR1775210","2007","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"195","BP344","ERR1775211","2008","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"196","BP346","ERR1775212","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"197","BP347","ERR1775213","2009","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"198","BP348","ERR1775214","2009","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"199","BP349","ERR1775215","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"200","BP35","ERR1775216","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"201","BP350","ERR1775217","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"202","BP351","ERR1775218","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"203","BP36","ERR1775219","1994","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"204","BP361","ERR1775220","2010","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"205","BP364","ERR1775221","2010","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"206","BP367","ERR1775222","2010","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"207","BP37","ERR1775223","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"208","BP371","ERR1775224","2010","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"209","BP379","ERR1775225","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"210","BP390","ERR1775226","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"211","BP399","ERR1775227","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"212","BP40","ERR1775228","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"213","BP404","ERR1775229","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"214","BP409","ERR1775230","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"215","BP41","ERR1775231","1994","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"216","BP412","ERR1775232","2012","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"217","BP413","ERR1775233","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"218","BP414","ERR1775234","2012","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"219","BP42","ERR1775235","1997","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"220","BP43","ERR1775236","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"221","BP44","ERR1775237","1982","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"222","BP451","ERR1775238","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"223","BP454","ERR1775239","2012","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"224","BP462","ERR1775240","2010","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"225","BP473","ERR1775241","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"226","BP474","ERR1775242","2013","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"227","BP479","ERR1775243","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"228","BP481","ERR1775244","2013","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"229","BP482","ERR1775245","2013","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"230","BP484","ERR1775246","2014","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"231","BP486","ERR1775247","2014","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"232","BP490","ERR1775248","2014","Japan","Asia","ptxP3/fim3-2","Zomer et. al. (2018)"
"233","BP5","ERR1775249","1995","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"234","BP502","ERR1775250","2014","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"235","BP504","ERR1775251","2014","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"236","BP55","ERR1775252","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"237","BP56","ERR1775253","1999","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"238","BP58","ERR1775254","1999","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"239","BP59","ERR1775255","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"240","BP6","ERR1775256","1995","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"241","BP60","ERR1775257","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"242","BP61","ERR1775258","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"243","BP63","ERR1775259","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"244","BP64","ERR1775260","2000","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"245","BP66","ERR1775261","1999","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"246","BP67","ERR1775262","2000","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"247","BP68","ERR1775263","1989","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"248","BP71","ERR1775264","1988","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"249","BP73","ERR1775265","1988","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"250","BP8","ERR1775266","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"251","BP81","ERR1775267","1990","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"252","BP84","ERR1775268","1990","Japan","Asia","Others","Zomer et. al. (2018)"
"253","BP85","ERR1775269","1991","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"254","BP86","ERR1775270","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"255","BP89","ERR1775271","1982","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"256","BP9","ERR1775272","1996","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"257","BP90","ERR1775273","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"258","BP91","ERR1775274","1986","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"259","BP92","ERR1775275","1986","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"260","BP93","ERR1775276","1987","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"261","BP94","ERR1775277","1987","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"262","BP95","ERR1775278","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"263","BP96","ERR1775279","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"264","BP97","ERR1775280","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"265","BP98","ERR1775281","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"266","BP99","ERR1775282","1983","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"267","KonanBP1","ERR1775283","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"268","KonanBP10","ERR1775284","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"269","KonanBP11","ERR1775285","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"270","KonanBP2","ERR1775286","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"271","KonanBP3","ERR1775287","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"272","KonanBP4","ERR1775288","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"273","KonanBP5","ERR1775289","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"274","KonanBP6","ERR1775290","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"275","KonanBP7","ERR1775291","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"276","KonanBP8","ERR1775292","2008","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"277","KonanBP9","ERR1775293","2008","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"278","KonanBP12","ERR1775294","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"279","KonanBP13","ERR1775295","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"280","KonanBP14","ERR1775296","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"281","KonanBP15","ERR1775297","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"282","KonanBP16","ERR1775298","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"283","KonanBP17","ERR1775299","2009","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"284","KonanBP18","ERR1775300","2010","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"285","KonanBP19","ERR1775301","2010","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"286","KonanBP20","ERR1775302","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"287","KonanBP21","ERR1775303","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"288","KonanBP22","ERR1775304","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"289","KonanBP23","ERR1775305","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"290","KonanBP24","ERR1775306","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"291","KonanBP25","ERR1775307","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"292","KonanBP26","ERR1775308","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"293","KonanBP27","ERR1775309","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"294","KonanBP28","ERR1775310","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"295","KonanBP29","ERR1775311","2011","Japan","Asia","ptxP3/fim3-1","Zomer et. al. (2018)"
"296","KonanBP30","ERR1775312","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
"297","KonanBP31","ERR1775313","2011","Japan","Asia","ptxP1/fim3-1","Zomer et. al. (2018)"
